segment_id,distance,entanglement_speed_factor,gate_time_ns,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_time_ns_contribution,use_log_scale
1_1_1,17.78279410038923,17.78279410038923,14677.992676220676,5940736910.121289,4.034517723432572e-09,0.9944339070414874,1.0996708700300779e-09,True
1_1_2,17.78279410038923,17.78279410038923,31622.776601683792,5940388980.502618,3.9839614752837155e-09,1.0262069894072277,4.698190261465599e-09,True
1_1_3,17.78279410038923,17.78279410038923,68129.20690579608,5940851152.08669,4.025434700543825e-09,1.0248060180129974,2.25522645359189e-08,True
1_1_4,17.78279410038923,17.78279410038923,146779.92676220674,5933578003.650217,3.8466675006915895e-09,1.0025801052320742,1.1477905421083385e-07,True
1_1_5,17.78279410038923,17.78279410038923,316227.7660168379,5945610758.439339,4.057480169801489e-09,0.9982532200018372,4.606297813529456e-07,True
1_1_6,17.78279410038923,17.78279410038923,681292.0690579595,5953155185.837303,3.815882737298694e-09,1.0170846547073722,2.2887179579515047e-06,True
1_2_1,17.78279410038923,56.23413251903491,14677.992676220676,1878785849.8128777,4.003450540543695e-08,0.986490574411422,1.0436033774233621e-08,True
1_2_2,17.78279410038923,56.23413251903491,31622.776601683792,1878875625.8977516,3.9516304768680427e-08,0.9953998889709692,4.8200840942581756e-08,True
1_2_3,17.78279410038923,56.23413251903491,68129.20690579608,1879874677.107493,3.97534385756598e-08,0.9981414292991572,2.022181574677869e-07,True
1_2_4,17.78279410038923,56.23413251903491,146779.92676220674,1881415989.882894,4.2245868988776914e-08,1.0234122440920963,1.0375007635766396e-06,True
1_2_5,17.78279410038923,56.23413251903491,316227.7660168379,1884614994.8615997,3.8996538915187786e-08,0.9999028728710284,4.819857639449282e-06,True
1_2_6,17.78279410038923,56.23413251903491,681292.0690579595,1892273768.0042129,4.0068335892773675e-08,0.997899350531702,7.902195797466865e-05,True
1_3_1,17.78279410038923,177.82794100389228,14677.992676220676,594620714.3965212,4.016301642219493e-07,1.0012289858216583,1.0671835086108847e-07,True
1_3_2,17.78279410038923,177.82794100389228,31622.776601683792,594903509.1014097,4.011022032111922e-07,0.9958797347048652,5.039340149468386e-07,True
1_3_3,17.78279410038923,177.82794100389228,68129.20690579608,595559970.6552093,4.0076174264358994e-07,0.9957002578293748,2.2419337899330857e-06,True
1_3_4,17.78279410038923,177.82794100389228,146779.92676220674,596884629.2943605,4.000561746906248e-07,1.0063318027655317,1.0390150101383356e-05,True
1_3_5,17.78279410038923,177.82794100389228,316227.7660168379,608382638.5394938,5.923096515755914e-05,0.9769221392866628,0.0126816151793848,True
1_3_6,17.78279410038923,177.82794100389228,681292.0690579595,792729926.4299153,0.0011406860221351,0.3798758065833044,0.7144321464185006,True
1_4_1,17.78279410038923,562.341325190349,14677.992676220676,188498420.0752584,4.04697409087403e-06,0.993911165895306,1.137338344977311e-06,True
1_4_2,17.78279410038923,562.341325190349,31622.776601683792,188813112.14396665,3.941750308969235e-06,0.9975740263759432,4.7858605400783546e-06,True
1_4_3,17.78279410038923,562.341325190349,68129.20690579608,190240296.7326537,0.000710899021779,1.0045482044644751,0.0021717149390837,True
