segment_id,coherence_time,entanglement_fidelity,operation_fidelity,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,operation_fidelity_contribution,use_log_scale
1_1_1,1778279410.0389156,0.9998221720589962,0.9998221720589962,0.2557823804524114,0.982177935926426,0.0157882106679978,0.0165547874080796,True
1_1_2,1778279410.0389156,0.9998221720589962,0.9994376586748096,0.2592122596381719,0.9822427783671704,0.012862910171208,0.0180420888282157,True
1_1_3,1778279410.0389156,0.9998221720589962,0.9982217205899612,0.2764025709907696,0.9341319285304492,0.0431105019922806,0.0481594366096098,True
1_1_4,1778279410.0389156,0.9998221720589962,0.9943765867480968,0.3408388747729975,0.7919583156709272,0.0107228363086717,0.1693661728455415,True
1_1_5,1778279410.0389156,0.9998221720589962,0.9822172058996111,0.5010589344541753,0.3528933861720937,0.0110529327821226,0.7622561420434362,True
1_1_6,1778279410.0389156,0.9998221720589962,0.9437658674809656,0.8662613376061905,0.064395677653316,0.0016949879702156,1.134753598374507,True
1_2_1,1778279410.0389156,0.9994376586748096,0.9998221720589962,0.259270161942309,1.044344794247532,0.0173939716790154,0.0144807374049476,True
1_2_2,1778279410.0389156,0.9994376586748096,0.9994376586748096,0.2631832090423576,0.8718082991760274,0.0298272552019488,0.0278095367673339,True
1_2_3,1778279410.0389156,0.9994376586748096,0.9982217205899612,0.2796518235678594,0.9107836587534572,0.0151866228378576,0.0359281966613411,True
1_2_4,1778279410.0389156,0.9994376586748096,0.9943765867480968,0.3421433969204931,0.8010124081606986,0.0137628052045048,0.1651460607126732,True
1_2_5,1778279410.0389156,0.9994376586748096,0.9822172058996111,0.5047059638812788,0.3817343030930992,0.0105268745530998,0.7572568658142251,True
1_2_6,1778279410.0389156,0.9994376586748096,0.9437658674809656,0.8672139236312866,0.0645295884101128,0.0042242928955489,1.104455478819601,True
1_3_1,1778279410.0389156,0.9982217205899612,0.9998221720589962,0.2642893442433784,0.9011583168434576,0.0272153057944073,0.0270531452709456,True
1_3_2,1778279410.0389156,0.9982217205899612,0.9994376586748096,0.2680931329297578,0.9104388498010432,0.0203777325109198,0.0210885539640089,True
1_3_3,1778279410.0389156,0.9982217205899612,0.9982217205899612,0.2902235491620518,0.9794478657019288,0.0184290447995143,0.0445139051676636,True
1_3_4,1778279410.0389156,0.9982217205899612,0.9943765867480968,0.350680309487157,0.8728478575007199,0.0255795214292755,0.1732752456847432,True
1_3_5,1778279410.0389156,0.9982217205899612,0.9822172058996111,0.5148931528280818,0.3527127331641825,0.0158672262111741,0.7553282575556542,True
1_3_6,1778279410.0389156,0.9982217205899612,0.9437658674809656,0.8708368440618847,0.0582261804863552,0.0037802372304132,1.1056684828694514,True
1_4_1,1778279410.0389156,0.9943765867480964,0.9998221720589962,0.2876403898348243,0.9909608623874684,0.0483580815851318,0.0248360622510183,True
