experiment_kind,experiment_anchor,experiment_sweep_param,sweep_index,sweep_value,replicate_index,seed,theta,num_runs,shots,distance,gate_speed_factor,client_gate_speed_factor,entanglement_speed_factor,ent_sweep_mode,Tsrv_est_ms,Tcc_est_ms,Tent_est_ms,Tmax_est_ms,Tmin_est_ms,zz_cost,xx_cost,zz_time,xx_time,total_time,energy,sweep_low,sweep_high
anchor,light,,-1,,0,42,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282054,-0.02071937261594924,84374615.0,84410120.0,168784735.0,-1.145630955773553,,
sweep,light,distance,0,10.0,0,1039,0.2297,10,10,10.0,0.263,1.0,2000.0,time,2.49324,0.25,2.5,5.24324,2.5,-1.8097603781282057,-0.02071937261594924,74924615.0,74960120.0,149884735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,0,2036,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.02071937261594924,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,0,3033,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282057,-0.02071937261594923,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,0,4030,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282057,-0.020719372615949232,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,0,5027,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282057,-0.02071937261594923,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,5,42.169650342858226,0,6024,0.2297,10,10,42.169650342858226,0.263,1.0,2000.0,time,2.49324,1.0542412585714558,2.5,6.047481258571456,2.5,-1.8097603781282057,-0.020719372615949243,75084615.0,75120120.0,150204735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,6,56.23413251903491,0,7021,0.2297,10,10,56.23413251903491,0.263,1.0,2000.0,time,2.49324,1.4058533129758728,2.5,6.399093312975873,2.5,-1.8097603781282054,-0.020719372615949232,75155615.0,75191120.0,150346735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,7,74.98942093324558,0,8018,0.2297,10,10,74.98942093324558,0.263,1.0,2000.0,time,2.49324,1.8747355233311396,2.5,6.86797552333114,2.5,-1.8097603781282057,-0.02071937261594923,75248615.0,84284120.0,159532735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,8,100.0,0,9015,0.2297,10,10,100.0,0.263,1.0,2000.0,time,2.49324,2.5,2.5,7.49324,2.5,-1.8097603781282057,-0.02071937261594923,84374615.0,84410120.0,168784735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,9,133.3521432163324,0,10012,0.2297,10,10,133.3521432163324,0.263,1.0,2000.0,time,2.49324,3.33380358040831,2.5,8.32704358040831,3.33380358040831,-1.8097603781282057,-0.02071937261594923,104540615.0,104576120.0,209116735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,10,177.82794100389228,0,11009,0.2297,10,10,177.82794100389228,0.263,1.0,2000.0,time,2.49324,4.445698525097307,2.5,9.438938525097306,4.445698525097307,-1.8097603781282054,-0.020719372615949243,124763615.0,124799120.0,249562735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,11,237.13737056616552,0,12006,0.2297,10,10,237.13737056616552,0.263,1.0,2000.0,time,2.49324,5.928434264154138,2.5,10.921674264154138,5.928434264154138,-1.8097603781282057,-0.020719372615949236,125059615.0,125095120.0,250154735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,12,316.22776601683796,0,13003,0.2297,10,10,316.22776601683796,0.263,1.0,2000.0,time,2.49324,7.905694150420949,2.5,12.89893415042095,7.905694150420949,-1.8097603781282054,-0.020719372615949243,135630855.0,135666360.0,271297215.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,13,421.6965034285823,0,14000,0.2297,10,10,421.6965034285823,0.263,1.0,2000.0,time,2.49324,10.542412585714558,2.5,15.535652585714558,10.542412585714558,-1.8097603781282054,-0.020719372615949236,174982615.0,175018120.0,350000735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,14,562.341325190349,0,14997,0.2297,10,10,562.341325190349,0.263,1.0,2000.0,time,2.49324,14.058533129758727,2.5,19.05177312975873,14.058533129758727,-1.8097603781282054,-0.02071937261594924,224685615.0,224721120.0,449406735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,15,749.8942093324558,0,15994,0.2297,10,10,749.8942093324558,0.263,1.0,2000.0,time,2.49324,18.747355233311396,2.5,23.740595233311396,18.747355233311396,-1.8097603781282054,-0.020719372615949225,274623615.0,274659120.0,549282735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,16,1000.0,0,16991,0.2297,10,10,1000.0,0.263,1.0,2000.0,time,2.49324,25.0,2.5,29.99324,25.0,-1.8097603781282054,-0.02071937261594923,324874615.0,324910120.0,649784735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,17,1333.521432163324,0,17988,0.2297,10,10,1333.521432163324,0.263,1.0,2000.0,time,2.49324,33.338035804083106,2.5,38.331275804083106,33.338035804083106,-1.8097603781282057,-0.020719372615949236,404541615.0,404577120.0,809118735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,18,1778.2794100389228,0,18985,0.2297,10,10,1778.2794100389228,0.263,1.0,2000.0,time,2.49324,44.45698525097308,2.5,49.45022525097308,44.45698525097308,-1.8097603781282054,-0.020719372615949236,524765615.0,524801120.0,1049566735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,19,2371.373705661655,0,19982,0.2297,10,10,2371.373705661655,0.263,1.0,2000.0,time,2.49324,59.28434264154138,2.5,64.27758264154139,59.28434264154138,-1.8097603781282054,-0.020719372615949243,674730615.0,674766120.0,1349496735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,20,3162.2776601683795,0,20979,0.2297,10,10,3162.2776601683795,0.263,1.0,2000.0,time,2.49324,79.05694150420949,2.5,84.05018150420949,79.05694150420949,-1.8097603781282054,-0.020719372615949246,874685615.0,874721120.0,1749406735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,21,4216.965034285822,0,21976,0.2297,10,10,4216.965034285822,0.263,1.0,2000.0,time,2.49324,105.42412585714555,2.5,110.41736585714555,105.42412585714555,-1.8097603781282054,-0.02071937261594924,1124958615.0,1124994120.0,2249952735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,22,5623.413251903491,0,22973,0.2297,10,10,5623.413251903491,0.263,1.0,2000.0,time,2.49324,140.5853312975873,2.5,145.5785712975873,140.5853312975873,-1.8097603781282054,-0.02071937261594924,1474991615.0,1475027120.0,2950018735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,23,7498.942093324558,0,23970,0.2297,10,10,7498.942093324558,0.263,1.0,2000.0,time,2.49324,187.47355233311396,2.5,192.46679233311397,187.47355233311396,-1.8097603781282054,-0.02071937261594924,1934368615.0,1934404120.0,3868772735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,24,10000.0,0,24967,0.2297,10,10,10000.0,0.263,1.0,2000.0,time,2.49324,250.0,2.5,254.99324000000001,250.0,-1.8097603781282057,-0.02071937261594923,2574874615.0,2574910120.0,5149784735.0,-1.145630955773553,10.0,10000.0
sweep,light,gate_speed_factor,0,0.02630000000000001,0,25964,0.2297,10,10,100.0,0.02630000000000001,1.0,2000.0,time,0.2493240000000001,2.5,2.5,5.249324,2.5,-1.8097603781282057,-0.02071937261594924,75011280.5,75014831.0,150026111.5,-1.145630955773553,0.026300000000000004,26.299999999999997
sweep,light,gate_speed_factor,1,0.03507161366589544,0,26961,0.2297,10,10,100.0,0.03507161366589544,1.0,2000.0,time,0.3324788975526888,2.5,2.5,5.332478897552688,2.5,-1.8097603781282054,-0.020719372615949246,75024744.92697714,75029479.59482203,150054224.52179918,-1.145630955773553,0.026300000000000004,26.299999999999997
sweep,light,gate_speed_factor,2,0.04676874848402369,0,27958,0.2297,10,10,100.0,0.04676874848402369,1.0,2000.0,time,0.4433677356285446,2.5,2.5,5.443367735628545,2.5,-1.8097603781282054,-0.020719372615949243,75042700.02892299,75049013.80996834,150091713.83889133,-1.145630955773553,0.026300000000000004,26.299999999999997
sweep,light,gate_speed_factor,3,0.062367128458901556,0,28955,0.2297,10,10,100.0,0.062367128458901556,1.0,2000.0,time,0.5912403777903867,2.5,2.5,5.5912403777903865,2.5,-1.8097603781282054,-0.020719372615949243,75066643.54218443,75075063.10452639,150141706.6467108,-1.145630955773553,0.026300000000000004,26.299999999999997
sweep,light,gate_speed_factor,4,0.0831679024624284,0,29952,0.2297,10,10,100.0,0.0831679024624284,1.0,2000.0,time,0.7884317153438213,2.5,2.5,5.788431715343821,2.5,-1.8097603781282057,-0.020719372615949236,75098572.73027982,75109800.39711225,150208373.12739205,-1.145630955773553,0.026300000000000004,26.299999999999997
