experiment_kind,experiment_anchor,experiment_sweep_param,sweep_index,sweep_value,replicate_index,seed,theta,num_runs,shots,distance,gate_speed_factor,client_gate_speed_factor,entanglement_speed_factor,ent_sweep_mode,Tsrv_est_ms,Tcc_est_ms,Tent_est_ms,Tmax_est_ms,Tmin_est_ms,zz_cost,xx_cost,zz_time,xx_time,total_time,energy,sweep_low,sweep_high
sweep,light,distance,1,13.33521432163324,1,20979,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.020719372615949246,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,2,21976,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.02071937261594924,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,3,22973,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.02071937261594924,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,4,23970,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.02071937261594924,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,5,24967,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282057,-0.02071937261594923,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,6,25964,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282057,-0.02071937261594924,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,7,26961,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.020719372615949246,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,8,27958,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.020719372615949243,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,1,13.33521432163324,9,28955,0.2297,10,10,13.33521432163324,0.263,1.0,2000.0,time,2.49324,0.333380358040831,2.5,5.326620358040831,2.5,-1.8097603781282054,-0.020719372615949243,74940615.0,74976120.0,149916735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,0,29952,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282057,-0.020719372615949236,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,1,30949,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282054,-0.020719372615949243,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,2,31946,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282054,-0.020719372615949236,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,3,32943,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282057,-0.02071937261594923,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,4,33940,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282054,-0.020719372615949243,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,5,34937,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282057,-0.020719372615949232,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,6,35934,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282054,-0.02071937261594924,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,7,36931,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282057,-0.020719372615949236,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,8,37928,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282057,-0.02071937261594923,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,2,17.78279410038923,9,38925,0.2297,10,10,17.78279410038923,0.263,1.0,2000.0,time,2.49324,0.44456985250973075,2.5,5.437809852509731,2.5,-1.8097603781282057,-0.02071937261594924,74962615.0,74998120.0,149960735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,0,39922,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282054,-0.020719372615949243,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,1,40919,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282057,-0.02071937261594923,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,2,41916,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282054,-0.020719372615949246,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,3,42913,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282054,-0.02071937261594924,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,4,43910,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282057,-0.02071937261594923,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,5,44907,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282057,-0.02071937261594923,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,6,45904,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282057,-0.02071937261594924,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,7,46901,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282054,-0.02071937261594923,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,8,47898,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282054,-0.02071937261594923,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,3,23.71373705661655,9,48895,0.2297,10,10,23.71373705661655,0.263,1.0,2000.0,time,2.49324,0.5928434264154138,2.5,5.5860834264154136,2.5,-1.8097603781282054,-0.020719372615949243,74992615.0,75028120.0,150020735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,0,49892,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282054,-0.020719372615949246,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,1,50889,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282057,-0.020719372615949243,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,2,51886,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282054,-0.02071937261594923,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,3,52883,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282057,-0.020719372615949236,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,4,53880,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282057,-0.02071937261594923,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
sweep,light,distance,4,31.622776601683793,5,54877,0.2297,10,10,31.622776601683793,0.263,1.0,2000.0,time,2.49324,0.7905694150420949,2.5,5.783809415042095,2.5,-1.8097603781282054,-0.020719372615949243,75032615.0,75068120.0,150100735.0,-1.145630955773553,10.0,10000.0
