final_energy,final_angle,nfev,nit,total_time,fidelity_factors,num_runs,dephase_rate,client_fidelity,distance,T1,T2_ratio,client_T1,sge,dge,gate_speed_factor,client_gate_speed_factor,entanglement_fidelity,entanglement_speed_factor,shots,flag
-1.1343094324134486,0.24156876663220478,6,6,6000084750120.0,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,10,1000,0
-1.1343094324134486,0.24156876663220478,6,6,2857227607262.936,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,21,1000,0
-1.1343094324134486,0.24156876663220478,6,6,1304432576207.0215,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,46,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600084750120.0,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,100,1000,0
-1.1578438324134486,0.22893631956659194,12,12,558533407216.7672,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,215,1000,0
-1.157015432413449,0.2349707557511084,7,7,304944771691.7216,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,464,1000,0
-1.157015432413449,0.2349707557511084,7,7,350014875140.0,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,1000,1000,0
-1.157015432413449,0.2349707557511084,7,7,319562054341.49347,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,2154,1000,0
-1.157015432413449,0.2349707557511084,7,7,309164814808.16846,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,4641,1000,0
-1.157015432413449,0.2349707557511084,7,7,357013475140.0,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.0,1.0,1,10000,1000,0
