final_energy,final_angle,nfev,nit,total_time,fidelity_factors,num_runs,dephase_rate,client_fidelity,distance,T1,T2_ratio,client_T1,sge,dge,gate_speed_factor,client_gate_speed_factor,entanglement_fidelity,entanglement_speed_factor,shots,flag
-1.1343094324134486,0.24156876663220478,6,6,2969996520120.0,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,0.05,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,1403993263709.7432,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,0.117,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,750019025655.0554,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,0.271,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600095995555.8163,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,0.631,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600078619575.0406,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,1.468,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600071151159.5314,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,3.415,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600067941119.6224,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,7.943,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600066560817.0454,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,18.478,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600065967464.546,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,42.987,1.0,1,100,1000,0
-1.1343094324134486,0.24156876663220478,6,6,600065712420.0,1,10,0.0,0,500,1e+50,0.1,1e+50,0,0,100.0,1.0,1,100,1000,0
