final_energy,final_angle,nfev,nit,total_time,fidelity_factors,num_runs,dephase_rate,client_fidelity,distance,T1,T2_ratio,client_T1,sge,dge,gate_speed_factor,client_gate_speed_factor,entanglement_fidelity,entanglement_speed_factor,shots,flag
-1.0222972324134485,0.28775873059410956,17,17,4555994390340.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,0.1,1.0,0.99,100,1000,0
-1.0604622324134487,0.23428400795231355,17,17,1700240125340.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.0453052324134484,0.20902338130655568,14,14,1400157367280.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,10.0,1.0,0.99,100,1000,0
-1.0453052324134484,0.20902338130655568,14,14,1400153328980.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,100.0,1.0,0.99,100,1000,0
