final_energy,final_angle,nfev,nit,total_time,fidelity_factors,num_runs,dephase_rate,client_fidelity,distance,T1,T2_ratio,client_T1,sge,dge,gate_speed_factor,client_gate_speed_factor,entanglement_fidelity,entanglement_speed_factor,shots,flag
-0.9669934324134487,0.2572843525143867,13,13,1300183625260.0,1.0,10,0.0039,0.039,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.035728632413449,0.28160518481740016,15,15,1500211875300.0,1.0,10,0.0039,0.0039,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.0532648324134493,0.18531312434600325,18,18,1800254250360.0,1.0,10,0.0039,0.00039,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.0559426324134487,0.1508887255718501,16,16,1600226000320.0,1.0,10,0.0039,3.9e-05,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
