final_energy,final_angle,nfev,nit,total_time,fidelity_factors,num_runs,dephase_rate,client_fidelity,distance,T1,T2_ratio,client_T1,sge,dge,gate_speed_factor,client_gate_speed_factor,entanglement_fidelity,entanglement_speed_factor,shots,flag
-1.0531254324134487,0.26338750507696373,16,16,1600069200320.0,1.0,10,0.0039,0.0,10.0,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.060472432413449,0.21997336149002014,15,15,1500091875300.0,1.0,10,0.0039,0.0,100.0,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.046870832413449,0.2087213104880707,12,12,1200049500240.0,1.0,10,0.0039,0.0,1000.0,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.0393532324134487,0.3249294645170239,18,18,9362126250360.0,1.0,10,0.0039,0.0,10000.0,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
