final_energy,final_angle,nfev,nit,total_time,fidelity_factors,num_runs,dephase_rate,client_fidelity,distance,T1,T2_ratio,client_T1,sge,dge,gate_speed_factor,client_gate_speed_factor,entanglement_fidelity,entanglement_speed_factor,shots,flag
-1.0179510324134489,0.18230156967285327,12,12,12000169500240.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,10.0,1000,0
-1.0604622324134487,0.23428400795231355,17,17,1700240125340.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100.0,1000,0
-1.0561544324134489,0.20908870394852394,14,14,700029750280.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,1000.0,1000,0
-1.0506404324134486,0.342736289287913,20,20,1020038500400.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,10000.0,1000,0
