final_energy,final_angle,nfev,nit,total_time,fidelity_factors,num_runs,dephase_rate,client_fidelity,distance,T1,T2_ratio,client_T1,sge,dge,gate_speed_factor,client_gate_speed_factor,entanglement_fidelity,entanglement_speed_factor,shots,flag
-1.0604622324134487,0.23428400795231355,17,17,1700240125340.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-1.0452946324134489,0.22066909932410453,12,12,1200169500240.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,10000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-0.9869594324134489,0.0948662054597958,16,16,1600226000320.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,1000000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
-0.4029142324134488,0.17887107430415597,15,15,1500211875300.0,1.0,10,0.0039,0.0,500,100000000000.0,0.1,100000000.0,0.0006,0.006,1.0,1.0,0.99,100,1000,0
