segment_id,coherence_time,entanglement_fidelity,noise_rate,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,noise_rate_contribution,use_log_scale
1_1_1,215443469003.18777,0.00021544346900318867,2.1544346900318865e-06,0.015763416206724168,1.3333333333333333,0.0,0.0,True
1_1_2,215443469003.18777,0.00021544346900318867,1.0000000000000021e-05,0.015763416206724168,1.3333333333333333,0.0,0.0,True
1_1_3,215443469003.18777,0.00021544346900318867,4.641588833612791e-05,0.015763416206724168,1.3333333333333333,0.0,0.0,True
1_2_1,215443469003.18777,0.001000000000000002,2.1544346900318865e-06,0.012840942172603237,0.9072216627001055,0.42741824296068914,0.0,True
1_2_2,215443469003.18777,0.001000000000000002,1.0000000000000021e-05,0.012840942172603237,0.9072216627001055,0.42741824296068914,0.0,True
1_2_3,215443469003.18777,0.001000000000000002,4.641588833612791e-05,0.012840942172603237,0.9072216627001055,0.42741824296068914,0.0,True
1_3_1,215443469003.18777,0.004641588833612782,2.1544346900318865e-06,0.016238325413948033,1.5929904108678035,0.23513504187751255,0.0,True
1_3_2,215443469003.18777,0.004641588833612782,1.0000000000000021e-05,0.016238325413948033,1.5929904108678035,0.23513504187751255,0.0,True
1_3_3,215443469003.18777,0.004641588833612782,4.641588833612791e-05,0.016238325413948033,1.5929904108678035,0.23513504187751255,0.0,True
2_1_1,1000000000000.0,0.00021544346900318867,2.1544346900318865e-06,0.006811832413448515,,,,True
2_1_2,1000000000000.0,0.00021544346900318867,1.0000000000000021e-05,0.006811832413448515,,,,True
2_1_3,1000000000000.0,0.00021544346900318867,4.641588833612791e-05,0.006811832413448515,,,,True
2_2_1,1000000000000.0,0.001000000000000002,2.1544346900318865e-06,0.007639583793275728,0.0,1.2200873342754752,0.0,True
2_2_2,1000000000000.0,0.001000000000000002,1.0000000000000021e-05,0.007639583793275728,0.0,1.2200873342754752,0.0,True
2_2_3,1000000000000.0,0.001000000000000002,4.641588833612791e-05,0.007639583793275728,0.0,1.2200873342754752,0.0,True
2_3_1,1000000000000.0,0.004641588833612782,2.1544346900318865e-06,0.007310791896637747,0.0,1.096811337554627,0.0,True
2_3_2,1000000000000.0,0.004641588833612782,1.0000000000000021e-05,0.007310791896637747,0.0,1.096811337554627,0.0,True
2_3_3,1000000000000.0,0.004641588833612782,4.641588833612791e-05,0.007310791896637747,0.0,1.096811337554627,0.0,True
3_1_1,4641588833612.754,0.00021544346900318867,2.1544346900318865e-06,0.006811832413448515,,,,True
3_1_2,4641588833612.754,0.00021544346900318867,1.0000000000000021e-05,0.006811832413448515,,,,True
3_1_3,4641588833612.754,0.00021544346900318867,4.641588833612791e-05,0.006811832413448515,,,,True
3_2_1,4641588833612.754,0.001000000000000002,2.1544346900318865e-06,0.007639583793275728,0.0,1.2200873342754752,0.0,True
3_2_2,4641588833612.754,0.001000000000000002,1.0000000000000021e-05,0.007639583793275728,0.0,1.2200873342754752,0.0,True
3_2_3,4641588833612.754,0.001000000000000002,4.641588833612791e-05,0.007639583793275728,0.0,1.2200873342754752,0.0,True
3_3_1,4641588833612.754,0.004641588833612782,2.1544346900318865e-06,0.007310791896637747,0.0,1.096811337554627,0.0,True
3_3_2,4641588833612.754,0.004641588833612782,1.0000000000000021e-05,0.007310791896637747,0.0,1.096811337554627,0.0,True
3_3_3,4641588833612.754,0.004641588833612782,4.641588833612791e-05,0.007310791896637747,0.0,1.096811337554627,0.0,True
