segment_id,coherence_time,entanglement_fidelity,noise_rate,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,noise_rate_contribution,use_log_scale
1_1_1,17320508075.688778,0.0031622776601683794,1.7320508075688777e-05,0.08785759944806924,2.3454961530830487,5.998161288068138,2.002456750757033,True
1_1_2,17320508075.688778,0.0031622776601683794,5.477225575051662e-05,0.07156228268941413,0.21128371636828897,1.118034432638237,0.3182840857335046,True
1_1_3,17320508075.688778,0.0031622776601683794,0.00031622776601683794,0.0813987329653795,3.1229341740366863,1.192168437640274,1.0053826426396772,True
1_2_1,17320508075.688778,0.022360679774997897,1.7320508075688777e-05,0.06471331675865512,0.5577562710859463,0.8653118846344681,1.3144831843671922,True
1_2_2,17320508075.688778,0.022360679774997897,5.477225575051662e-05,0.08783240837932754,1.4343515983931703,1.009041766916117,0.6089266861800268,True
1_2_3,17320508075.688778,0.022360679774997897,0.00031622776601683794,0.08382145810336217,2.182076848436735,1.2194510848582696,1.4810482701332879,True
1_3_1,17320508075.688778,0.07071067811865475,1.7320508075688777e-05,0.2051897592072236,0.31645673453707646,0.27743302265643477,0.9453299348294224,True
1_3_2,17320508075.688778,0.07071067811865475,5.477225575051662e-05,0.15656062568991336,0.7186212611317905,0.518701720482062,0.6008770705649947,True
1_3_3,17320508075.688778,0.07071067811865475,0.00031622776601683794,0.17853012568991336,2.6192715352160536,1.9732865173428542,1.3410424506356295,True
2_1_1,54772255750.516624,0.0031622776601683794,1.7320508075688777e-05,0.08687528268941412,1.0927200281829248,0.6959449580785642,0.685885073599726,True
2_1_2,54772255750.516624,0.0031622776601683794,5.477225575051662e-05,0.07360987431008656,0.7743042065051666,0.717585045995369,1.1438050107048907,True
2_1_3,54772255750.516624,0.0031622776601683794,0.00031622776601683794,0.08025428268941412,0.45439403155421604,0.678579715534355,0.629312436160827,True
2_2_1,54772255750.516624,0.022360679774997897,1.7320508075688777e-05,0.08477618324134487,1.1049649235627974,2.974894133016122,1.8376831258206106,True
2_2_2,54772255750.516624,0.022360679774997897,5.477225575051662e-05,0.09501086648268972,0.9326852327355727,0.551209633521435,0.5931584913062459,True
2_2_3,54772255750.516624,0.022360679774997897,0.00031622776601683794,0.09363159162067242,0.45800489768809133,0.4827061666500346,1.2920092681994941,True
2_3_1,54772255750.516624,0.07071067811865475,1.7320508075688777e-05,0.17716330893125826,0.2999111240183767,0.9405360856441558,0.4595977341838908,True
2_3_2,54772255750.516624,0.07071067811865475,5.477225575051662e-05,0.16229840055193068,1.2247405393247517,1.808933643142125,0.5451667533668145,True
2_3_3,54772255750.516624,0.07071067811865475,0.00031622776601683794,0.17835562568991334,1.328079336558265,0.9379889433343828,2.352744550412628,True
3_1_1,316227766016.83795,0.0031622776601683794,1.7320508075688777e-05,0.080207465930759,2.103559163478364,1.9398331508314761,1.6805047033833094,True
3_1_2,316227766016.83795,0.0031622776601683794,5.477225575051662e-05,0.09242205755143143,0.46176679198738735,0.5457243905305486,0.3778091934442259,True
3_1_3,316227766016.83795,0.0031622776601683794,0.00031622776601683794,0.085165465930759,1.3845379177895587,1.210281589946255,1.3050597463372147,True
3_2_1,316227766016.83795,0.022360679774997897,1.7320508075688777e-05,0.09862827486201729,1.7167915994565823,1.401684384950095,1.2177106617990658,True
3_2_2,316227766016.83795,0.022360679774997897,5.477225575051662e-05,0.08413977486201729,1.076226395759665,1.0811953659170976,0.8202422197041771,True
3_2_3,316227766016.83795,0.022360679774997897,0.00031622776601683794,0.06325659162067243,1.2566554225070459,0.6438095741805522,0.5712468535000753,True
3_3_1,316227766016.83795,0.07071067811865475,1.7320508075688777e-05,0.17565430893125825,0.8560306391091557,0.6140063899605045,1.6364049421604068,True
3_3_2,316227766016.83795,0.07071067811865475,5.477225575051662e-05,0.14666180893125827,1.4506059458201228,1.6390317248122968,0.5226972853879794,True
3_3_3,316227766016.83795,0.07071067811865475,0.00031622776601683794,0.17059640055193065,1.0022602303978663,0.9542245829027325,1.8252353573193203,True
