segment_id,distance,entanglement_speed_factor,gate_speed_factor,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_speed_factor_contribution,use_log_scale
1_1_1,21.544346900318832,21.544346900318832,2.154434690031884,611558070137.1229,0.046870405792907036,1.1234551713372698,0.12006090051252205,True
1_1_2,21.544346900318832,21.544346900318832,10.0,594452812708.2683,0.1231927045670791,1.1545842368983728,0.14542832717240184,True
1_1_3,21.544346900318832,21.544346900318832,46.41588833612777,608501004771.6549,0.05170071069646432,1.369068353375134,0.20301333864467225,True
1_2_1,21.544346900318832,99.99999999999994,2.154434690031884,126030504242.90572,0.0981508692956706,1.225247209467337,0.1527109074155319,True
1_2_2,21.544346900318832,99.99999999999994,10.0,130560120813.38553,0.08450332197236758,1.0340000163243266,0.04707910796900841,True
1_2_3,21.544346900318832,99.99999999999994,46.41588833612777,126237851834.33301,0.055217772351085916,0.8952994851561199,0.06812131683139896,True
1_3_1,21.544346900318832,464.1588833612773,2.154434690031884,29443107492.868156,0.12498790802508283,0.9046924647908865,0.36638877137647985,True
1_3_2,21.544346900318832,464.1588833612773,10.0,27514208257.28526,0.07890761786400773,1.2882548084994596,0.19026069623142247,True
1_3_3,21.544346900318832,464.1588833612773,46.41588833612777,27221921767.190315,0.14907844447106797,1.2256529743569582,0.17068640877358746,True
2_1_1,99.99999999999994,21.544346900318832,2.154434690031884,598120955722.5178,0.09303779472977057,1.1331451728587674,0.03399461190538778,True
2_1_2,99.99999999999994,21.544346900318832,10.0,609428723141.6008,0.10561924622693249,0.7853075092843871,0.06704549357703649,True
2_1_3,99.99999999999994,21.544346900318832,46.41588833612777,601787067542.3494,0.13854558089790103,0.9308905383129245,0.20102157655379443,True
2_2_1,99.99999999999994,99.99999999999994,2.154434690031884,127749368868.31033,0.05611546682359299,1.124932162669737,0.032846265265890635,True
2_2_2,99.99999999999994,99.99999999999994,10.0,128306792612.04758,0.14515349622862792,1.2028435797107557,0.10341146909887543,True
2_2_3,99.99999999999994,99.99999999999994,46.41588833612777,128998167993.73071,0.13016594677362608,0.9954438777670334,0.1113772221047166,True
2_3_1,99.99999999999994,464.1588833612773,2.154434690031884,34420379889.45566,0.18749048957899683,0.9589065182644871,0.4972555950402096,True
2_3_2,99.99999999999994,464.1588833612773,10.0,27776988865.51048,0.122565914851227,1.2691706517576413,0.13551815887420282,True
2_3_3,99.99999999999994,464.1588833612773,46.41588833612777,28504657008.518482,0.10155315334864881,1.1575669220952405,0.062313144940547315,True
3_1_1,464.1588833612773,21.544346900318832,2.154434690031884,611257730654.9792,0.09098534588082537,1.0400846467892955,0.0879612227710994,True
3_1_2,464.1588833612773,21.544346900318832,10.0,599805380464.0271,0.19524601555243698,1.3907082587742532,0.2170594543163787,True
3_1_3,464.1588833612773,21.544346900318832,46.41588833612777,595330685435.8069,0.2322008972608597,1.209096252577269,0.1374756903443647,True
3_2_1,464.1588833612773,99.99999999999994,2.154434690031884,128767825148.36539,0.19760398725543132,1.1917534372321592,0.12843261636128472,True
3_2_2,464.1588833612773,99.99999999999994,10.0,130362813861.58456,0.10766226956764806,1.2044530764245902,0.03707153821856202,True
3_2_3,464.1588833612773,99.99999999999994,46.41588833612777,129512708100.71762,0.0752623112269695,1.1374644302473118,0.06481686000015559,True
3_3_1,464.1588833612773,464.1588833612773,2.154434690031884,50523025470.285995,1.1794024964409995,0.4048534616777076,0.7782720950891123,True
3_3_2,464.1588833612773,464.1588833612773,10.0,43453973541.52644,0.866148665296172,0.5684500923659943,0.16200428962882685,True
3_3_3,464.1588833612773,464.1588833612773,46.41588833612777,39971840524.48087,0.7350713397037804,0.4039556272757248,0.19433177290662962,True
